id,hora_inicio,hora_fin,correo,nombre,hora_ultima_modificacion,frecuencia_planificacion_tareas,frecuencia_dividir_tareas,frecuencia_autonomia_sin_presion,frecuencia_concentracion_estudio,frecuencia_evitar_tareas_dificiles,frecuencia_revisar_celular_estudio,frecuencia_interferencia_redes,frecuencia_dejar_ultimo_momento
19,2026-02-13 14:16:38,2026-02-13 14:19:17,anonymous,,,A veces,A veces,Siempre,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Siempre
20,2026-02-13 14:22:16,2026-02-13 14:23:42,anonymous,,,A veces,A veces,Rara vez,Rara vez,A veces,A veces,Frecuentemente,Frecuentemente
21,2026-02-13 14:25:53,2026-02-13 14:26:50,anonymous,,,Siempre,Frecuentemente,Siempre,Frecuentemente,Rara vez,Siempre,A veces,Rara vez
22,2026-02-13 14:28:29,2026-02-13 14:29:32,anonymous,,,A veces,A veces,Frecuentemente,A veces,Rara vez,Frecuentemente,Frecuentemente,A veces
23,2026-02-13 14:31:00,2026-02-13 14:32:56,anonymous,,,A veces,Frecuentemente,Frecuentemente,A veces,Frecuentemente,Siempre,Frecuentemente,Siempre
24,2026-02-13 15:39:06,2026-02-13 15:39:57,anonymous,,,Rara vez,Nunca,Frecuentemente,Rara vez,Siempre,Siempre,Siempre,Siempre
25,2026-02-13 15:39:50,2026-02-13 15:42:19,anonymous,,,Siempre,Rara vez,Siempre,A veces,Frecuentemente,A veces,Frecuentemente,Rara vez
26,2026-02-13 15:47:36,2026-02-13 15:48:16,anonymous,,,Nunca,Nunca,Nunca,Rara vez,Siempre,A veces,Siempre,Siempre
27,2026-02-13 15:56:43,2026-02-13 15:58:47,anonymous,,,Frecuentemente,Rara vez,Frecuentemente,A veces,A veces,Frecuentemente,A veces,A veces
28,2026-02-13 16:28:45,2026-02-13 16:30:55,anonymous,,,A veces,Rara vez,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces,Frecuentemente
29,2026-02-13 17:01:59,2026-02-13 17:05:45,anonymous,,,Rara vez,Rara vez,Frecuentemente,A veces,Nunca,Frecuentemente,Frecuentemente,Frecuentemente
30,2026-02-13 17:17:12,2026-02-13 17:19:53,anonymous,,,Rara vez,Rara vez,Frecuentemente,Rara vez,Nunca,Frecuentemente,Frecuentemente,A veces
31,2026-02-13 17:30:46,2026-02-13 17:32:25,anonymous,,,A veces,Rara vez,A veces,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Siempre
32,2026-02-13 17:58:14,2026-02-13 18:00:56,anonymous,,,Rara vez,Rara vez,Frecuentemente,A veces,Frecuentemente,Frecuentemente,Frecuentemente,A veces
33,2026-02-13 18:20:46,2026-02-13 18:21:48,anonymous,,,A veces,Nunca,Nunca,A veces,Rara vez,Siempre,Frecuentemente,A veces
34,2026-02-13 18:25:33,2026-02-13 18:26:25,anonymous,,,A veces,Nunca,Nunca,Frecuentemente,Siempre,Siempre,Siempre,Siempre
35,2026-02-13 19:11:03,2026-02-13 19:12:42,anonymous,,,Siempre,A veces,Siempre,Frecuentemente,Rara vez,A veces,A veces,Rara vez
36,2026-02-13 21:10:13,2026-02-13 21:12:02,anonymous,,,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
37,2026-02-13 21:18:42,2026-02-13 21:19:33,anonymous,,,Frecuentemente,Rara vez,A veces,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente
38,2026-02-13 22:47:10,2026-02-13 22:49:38,anonymous,,,A veces,Frecuentemente,Nunca,Frecuentemente,A veces,Nunca,Nunca,Nunca
39,2026-02-14 03:03:33,2026-02-14 03:05:07,anonymous,,,Rara vez,Frecuentemente,A veces,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente
40,2026-02-14 08:48:50,2026-02-14 08:50:02,anonymous,,,Rara vez,Nunca,A veces,A veces,Frecuentemente,Frecuentemente,Siempre,Frecuentemente
41,2026-02-14 11:15:30,2026-02-14 11:16:33,anonymous,,,Siempre,Siempre,Siempre,A veces,A veces,Frecuentemente,Siempre,Rara vez
42,2026-02-14 11:16:45,2026-02-14 11:17:06,anonymous,,,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,Siempre,Siempre,Siempre
